coin,metric,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08
aave,market_caps,2429762702.90899,2357073119.2985687,2535171873.985164,2570597476.9784174,2614205058.4160414,2570369384.764184,2714255768.655378,2714379254.1500263,3145924049.0191665,3000960787.6234856,2985851310.310024,3168580526.48877,3139220912.2816806,3545485613.247291,3633153845.1457043,3841768449.872117,3725869512.68266,4226338783.2068686,4241226282.9279947,4267568385.1705766,3885719668.0567255,4098458296.846163,4516741916.5364895,5506006853.035069,5629115505.744572,5494882625.445182,5589671340.827469,5711408029.919076,5431283639.873028,5125505934.889755,4756195806.627423,4938338153.198128,4471058297.484491,4761271845.232105,5744296180.427453,5642986947.190571,5536190227.942398,5068132097.113036,4865113979.493225,5309743917.776212,4983155003.2393465,4824839359.32525,4645823055.628292,4795377138.737413,5009168378.211197,5263382595.6525345,5293475787.4825115,5151180158.16498,5123039443.606276,4424963803.212474
aave,prices,162.2137,157.3163,169.2673,171.7679,174.5158,171.4601,181.0904,181.2757,210.0931,200.3317,199.2793,211.5766,209.2326,236.093,241.8867,255.9666,248.5894,281.7552,282.3986,284.2814,259.1373,273.2796,301.1653,367.6425,375.6033,365.9951,372.2408,379.8971,361.4677,340.7056,316.7227,329.211,298.0384,316.8075,383.488,376.2119,368.6649,337.4588,323.6354,353.3013,331.8686,321.1669,308.7878,318.8994,332.9841,349.979,351.7848,342.2395,340.7018,294.18525
aave,total_volumes,330103751.62691814,320852357.680202,446050820.5814259,464206754.36110586,597702895.318076,560489330.2805377,760613771.9575772,612970783.1735833,911965317.3507446,484065437.3387455,354762149.16387856,573371999.810298,484809906.0889525,1299452644.4712095,1181708218.5850096,1191179116.5987434,870666552.5107323,1120551115.2888253,655334370.7444862,520318484.52067304,1037058897.5970988,1748928774.6511931,1137293465.850811,3076495480.508101,1844807710.208393,1430305123.8429155,1205882124.1524823,1954537556.635428,1056888818.7028599,1488979081.5364015,1534194535.1065054,1623099552.6596632,955497969.6095216,865803380.5272326,1695721237.581925,1062472797.7571487,736404804.553588,649550504.3271054,755046892.7949193,637623214.2710936,496860480.88057595,770173965.11995,465650334.9975186,553148484.7803742,713892738.5581696,679470718.195365,618403939.882489,441747445.70234793,608047841.0515792,554670027.7465899
aptos,market_caps,6310665487.845606,6333489989.596256,6443447980.837514,6626405575.705408,6776997796.977524,6643701885.213823,6305792742.061866,6369310834.254046,6779646337.248028,6851972424.622575,7117050807.45591,7171137766.50844,7199570590.277474,7325398172.958727,7789044633.157826,7526138223.656763,7320504173.162999,7873153873.656223,7834707688.852764,7791336219.167781,6419345711.663059,6234641052.485788,6933430816.13907,7393371457.878192,7890290617.926934,7437440196.217507,7610171450.217537,7741439915.31828,7173925994.694177,6594401116.296515,6374782552.740905,6028226288.21341,5270955541.532739,5145090401.755935,5398776738.020668,5460393191.279757,5326321428.7914,4907374682.403031,4842698851.880878,5113807186.637824,4947513155.923594,4930582988.599207,4853600598.988037,5011228433.792828,5172189303.270545,5465002613.371479,5598403584.612614,5635354987.609911,5675930777.34867,5200341523.113884
aptos,prices,11.8422,11.8619,12.1098,12.4299,12.7219,12.4522,11.8272,11.9338,12.6946,12.8107,13.322,13.4135,13.4709,13.6956,14.5277,14.0855,13.6693,14.7015,14.6108,14.5458,11.9838,11.6281,12.9188,13.6168,14.2306,13.4065,13.7055,13.9332,12.9055,11.8868,11.4367,10.8502,9.4972,9.225,9.701,9.8259,9.5633,8.8056,8.697,9.1712,8.8793,8.8525,8.7027,8.9872,9.2724,9.7851,10.0218,10.0765,10.1582,9.2909
aptos,total_volumes,451221829.76786983,1322595950.9066038,886941638.0863576,805046548.2226148,1061110729.7101066,1021975419.4311693,880265088.0936309,723765126.2734164,553804195.076574,602703131.569297,542779193.4229212,552698237.7036479,468754509.8004553,867316590.2469652,1400722494.331015,850765720.9506817,1080764753.0333557,827161297.9344517,627927163.6999646,414858790.8022806,1088958399.258693,963738040.058416,555126177.3864973,839565996.2979587,769390358.318434,504908526.3586056,424863804.91384333,671909434.3134286,698514744.0799572,744388168.8749727,1083305479.3021302,1174759171.7823327,1388965969.900026,667214635.5004593,591405793.506993,401816481.7123372,346945008.6576201,327830403.1864407,388349320.93039787,265489848.53422818,229700197.55249646,363653667.51253784,201866340.4173929,245578888.92660132,281918977.06133753,301889783.4072807,323251881.14778805,287885849.0904319,391225483.19090366,630333220.6020763
arbitrum,market_caps,2840802869.1923623,2757233658.083848,3205205811.617135,3318155525.3495994,3505727559.7863965,3543188454.0754623,3715875188.7632504,3559449161.4556384,3971494297.17303,3746558863.818105,3814728642.616152,4000220608.74489,3966665795.3735385,4199626075.764062,4295382313.051524,4645978094.012103,4528471015.112619,4820530716.530289,4778687125.465705,4764562456.778783,3951717677.776615,3845413056.8253775,4099145057.530168,4184710262.7132945,4213595964.07612,4029246638.4902997,4169668491.0132775,4131854026.540455,3977563305.34437,3629264304.2834525,3316840149.1629386,3347465063.419164,3133763553.908428,3137817010.5354,3361012782.5456095,3443041288.4131637,3387796038.0362463,3164649711.41176,3188917669.119502,3261997868.287844,3127579358.239547,3078224737.401672,3034861472.800295,3130608569.9149537,3263700952.969962,3506324611.8541493,3772537265.462591,3853689217.26129,3864113024.131979,3332612488.861621
arbitrum,prices,0.6932,0.673,0.7821,0.8097,0.8553,0.8639,0.9067,0.8695,0.9693,0.9149,0.931,0.9766,0.9684,1.0264,1.049,1.1339,1.1056,1.1765,1.1662,1.1636,0.9645,0.9387,1.0001,1.023,1.0285,0.9842,1.0176,1.0064,0.9448,0.8605,0.7852,0.7961,0.7443,0.7451,0.7981,0.8187,0.8048,0.7516,0.7576,0.7747,0.7429,0.7312,0.7218,0.744,0.775,0.8327,0.8961,0.9156,0.9184,0.7909999999999999
arbitrum,total_volumes,720031682.5148029,643330420.7306769,1631062276.126338,1301410895.6323297,1617269397.2496052,1411530484.1942666,1900483980.1482084,1323568481.976894,1361506344.0054026,991107095.5970459,562964140.44977,943188942.6240134,729174243.5643418,1678358729.5413268,1657168026.154686,1845614366.2622852,1393678555.836696,1422597658.8217325,680272623.1456456,594224260.1525133,1483844167.7015302,1576656976.9782476,906036173.147935,1241026618.9192283,977236505.8446631,666735271.4969655,628659474.4654013,1016317425.7185692,746149102.9970804,875923619.073298,1005029419.9180257,1043225799.597356,647184702.6873957,491039646.25406986,614568729.1007317,429679834.6120255,343696506.75883955,362088948.1078469,429378834.27092296,222780268.2319584,241037700.95532548,410088592.871592,234796152.51723856,217613464.3540396,345554016.9422761,396120347.41294366,637035099.8047419,546472483.4638771,669867129.6300775,534635818.5448737
avalanche-2,market_caps,14053555246.306078,13781739093.214588,14647868662.569672,17620013083.222313,16957585558.992628,17218802861.206676,16942486459.14421,17444888911.59389,17979606785.622936,17559693979.875553,18410524575.292854,18418389047.21688,18526871827.880848,21305517597.214897,20984276942.544907,21588604850.753353,20709273987.82298,21549410676.14568,21210871148.427658,22179289492.546204,18487535733.234905,18250068690.01941,19766090888.048187,21651424579.18754,21451629661.667233,20439965564.90129,20936714917.638958,20161695670.636875,19608954759.67657,17522268981.706444,16015318771.209362,16279137438.500908,15293029823.48328,14978535822.52411,15986905209.603487,16884859498.46091,16509200864.81862,15279515089.60027,14944247263.003979,15440098831.45994,14696421258.479542,14704857248.57316,14625392191.333096,15424351665.324396,16100986048.720066,17154413720.50851,17512705706.539852,17650924819.27978,18034855169.40223,15640112838.86797
